芝麻信用,芝麻分,违约记录,15岁以下,16-20岁,21-25岁,26-30岁,31-35岁,36-40岁,41-45岁,46-50岁,51-55岁,56-60岁,61-65岁,66岁以上,3500以下,3500-5000,5000-8000,8000-1250,12500-38500,38500-58500,58500-83500,大于83000,教育程度,商品房,自建房,公积金,支付宝年龄,无职业,个体,教师,医护人员,职员,公务员,金融从业者,房贷,车贷,其他,婚姻状况,网购记录,违法记录
0,771,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.4771212547196617,3.0004340774793183,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,1,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0.07244923539734269,0
1,640,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.17638069224327,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.047380295813487086,0
1,588,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4772659954248524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.022311356229631485,0
1,576,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4315245841874504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.027325144146402608,0
1,582,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.505285674144132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.012283780396089246,0
1,677,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,2.8457180179666586,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.08247681123088493,0
0,760,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.0004340774793183,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,1,8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1,0.09751817498119829,0
1,669,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.17638069224327,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.05490097768864377,1
1,625,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.146438135285774,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,1,6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1,0.10002506893958385,0
1,655,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.505285674144132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.059914765605414894,0
